text,label
product is good but price is to high after purchasing the product from flipkart with in 15day price is dropped i purchased it for 7050 and now the price is 6699 with sbi offer you can get it for 6099 i see at one point of time recently the product cost is around 5700 so dont buy for high price its not reasonable price,2
not gudpoor cloth,0
did not show correct reading even once,0
4 star for short power chord thanks flipkart for speedy delivery of the product which was needed extremely urgent hope product will give service uninterruptedly,2
issue is mop road rotatingits off worst qualityslipping while trying to spin and clean mopbucket handel very weak do not buy it,0
product it is not very good not perfectly joined but it is ok,1
very cheap quality damaged pieces waste of money,0
this product its good but so lightweight not original,0
product so very good quality but delivered to late,1
it gave negative result in covid test but when tested at hospital got result as positive the second pack was non testable usable as it was noticed with damage condition and it has no liquid inside the item has no return policy and so the product is waste of money,0
its beautiful,2
biggest loss money product,0
too much heating,1
plate size is too small not sufficient for for meals,0
i am using this laptop for a month parformance waise is good gaming is very smooth but i face some buzz sound problem,1
its very small,1
speed slow,0
its overall value for moneyreview after using 2 weekscan use it at all places including high humidity place like tamilnadu as wellpros5 steel fan bladescrompton motor quality is at bestair through flow is sufficient for larger size roomhallsserves cool air to both for bed and ground level by its auto setupcan feel the air condition kind of feel when you place it near windows at night time sleep it will reduce the temperaturepower supply is added advantage only 190w maxi,2
according to the product the price is very high,1
quality is not expected,0
mike is not listening,0
product quality is tooo poor dont buy,0
quality is below average not worth for what i paid tires are torn within a monthloose fittingsnot recommended,1
mind blowing,1
star is very small,1
looking so good,2
superbbbb,1
good design and value for money,2
everything is ok but the main problem is in the horizontal blade the horizontal blade which is used to change the direction of flow of air ie up or down getting down automatically due to the vibration of the cooler i have informed the customer care they raise a ticket for this issue i dont know when it will get resolved,2
size and fiber issue,0
so this was a gift for my mother and she loved it working perfectly fine thank you flipkart,2
very bad qualiry,0
the hindware product is awesome plus delivery was fast and installation done as per schedule,2
v fast changing,1
rsnound product in reasonable price,1
ok but not best,1
sound is excellent bess is good all features is perfectly working,2
very bad qualitywith in 15days kettle not heating water when i try to do warranty claim customer care of pigeon not responding i hardly recommend pls never bought such type of compny product,0
its small no use for anythingthe bowls are like you can use for pinch of salt,2
reasonable price,1
it getting hangedsometimesmy purpose is defeatedas my kids are not able to take online classes,0
very good and very like,2
good deal but no deep bass,1
great productbetter pricing wouldve been nicebut no complaints from the productgreat experience using google tvworks with any tv having hdmi,2
its ok but packing is bad of products,0
great product works perfectly well easy to use and very useful,2
the cooler is good performance is great features are also good as compared to the priceonly one issue is there is with the body plastic quality is not so goodnd finishing could be better at some places like the buttons the grill some parts seem delicate in comparison to other brand like symphony coolersi have to keep my kids away so that the body does not get damaged but the price is half compared to other branded coolers hoping that it will provide tension free service for years t,2
thin cloth nd price is hight,1
fully satisfied best one in the market delivered 3 days before the expected date flipkart best trustee site to buy costly home appliances,2
bad grinder moter over heat problem,0
write review after one week useoverall good fridgecons1 no lock in fridge2 space management is very poor according to fridge capacity,0
very bad iteam miracast is not support,0
well packed tshirt is good,2
